text,sentiment,cleaned_text,text_length,word_count,textblob_sentiment
I love this product! It's amazing and works perfectly!,2,i love this product its amazing and works perfectly,51,9,0.0
Absolutely wonderful experience. Highly recommend!,2,absolutely wonderful experience highly recommend,48,5,0.0
Best purchase I've made in years. So happy!,2,best purchase ive made in years so happy,40,8,0.0
Great quality and fast shipping. Very satisfied.,2,great quality and fast shipping very satisfied,46,7,0.0
Fantastic! Exceeded all my expectations!,2,fantastic exceeded all my expectations,38,5,0.0
This is terrible. Worst product ever.,0,this is terrible worst product ever,35,6,0.0
Completely disappointed. Waste of money.,0,completely disappointed waste of money,38,5,0.0
Horrible experience. Never buying again.,0,horrible experience never buying again,38,5,0.0
Bad quality and poor customer service.,0,bad quality and poor customer service,37,6,0.0
Absolutely awful. Total disaster.,0,absolutely awful total disaster,31,4,0.0
It's okay. Nothing special.,1,its okay nothing special,24,4,0.0
Average product. Does the job.,1,average product does the job,28,5,0.0
"Not bad, not great. Just fine.",1,not bad not great just fine,27,6,0.0
Decent for the price.,1,decent for the price,20,4,0.0
It works as expected.,1,it works as expected,20,4,0.0
I love this product! It's amazing and works perfectly!,2,i love this product its amazing and works perfectly,51,9,0.0
Absolutely wonderful experience. Highly recommend!,2,absolutely wonderful experience highly recommend,48,5,0.0
Best purchase I've made in years. So happy!,2,best purchase ive made in years so happy,40,8,0.0
Great quality and fast shipping. Very satisfied.,2,great quality and fast shipping very satisfied,46,7,0.0
Fantastic! Exceeded all my expectations!,2,fantastic exceeded all my expectations,38,5,0.0
This is terrible. Worst product ever.,0,this is terrible worst product ever,35,6,0.0
Completely disappointed. Waste of money.,0,completely disappointed waste of money,38,5,0.0
Horrible experience. Never buying again.,0,horrible experience never buying again,38,5,0.0
Bad quality and poor customer service.,0,bad quality and poor customer service,37,6,0.0
Absolutely awful. Total disaster.,0,absolutely awful total disaster,31,4,0.0
It's okay. Nothing special.,1,its okay nothing special,24,4,0.0
Average product. Does the job.,1,average product does the job,28,5,0.0
"Not bad, not great. Just fine.",1,not bad not great just fine,27,6,0.0
Decent for the price.,1,decent for the price,20,4,0.0
It works as expected.,1,it works as expected,20,4,0.0
I love this product! It's amazing and works perfectly!,2,i love this product its amazing and works perfectly,51,9,0.0
Absolutely wonderful experience. Highly recommend!,2,absolutely wonderful experience highly recommend,48,5,0.0
Best purchase I've made in years. So happy!,2,best purchase ive made in years so happy,40,8,0.0
Great quality and fast shipping. Very satisfied.,2,great quality and fast shipping very satisfied,46,7,0.0
Fantastic! Exceeded all my expectations!,2,fantastic exceeded all my expectations,38,5,0.0
This is terrible. Worst product ever.,0,this is terrible worst product ever,35,6,0.0
Completely disappointed. Waste of money.,0,completely disappointed waste of money,38,5,0.0
Horrible experience. Never buying again.,0,horrible experience never buying again,38,5,0.0
Bad quality and poor customer service.,0,bad quality and poor customer service,37,6,0.0
Absolutely awful. Total disaster.,0,absolutely awful total disaster,31,4,0.0
It's okay. Nothing special.,1,its okay nothing special,24,4,0.0
Average product. Does the job.,1,average product does the job,28,5,0.0
"Not bad, not great. Just fine.",1,not bad not great just fine,27,6,0.0
Decent for the price.,1,decent for the price,20,4,0.0
It works as expected.,1,it works as expected,20,4,0.0
I love this product! It's amazing and works perfectly!,2,i love this product its amazing and works perfectly,51,9,0.0
Absolutely wonderful experience. Highly recommend!,2,absolutely wonderful experience highly recommend,48,5,0.0
Best purchase I've made in years. So happy!,2,best purchase ive made in years so happy,40,8,0.0
Great quality and fast shipping. Very satisfied.,2,great quality and fast shipping very satisfied,46,7,0.0
Fantastic! Exceeded all my expectations!,2,fantastic exceeded all my expectations,38,5,0.0
This is terrible. Worst product ever.,0,this is terrible worst product ever,35,6,0.0
Completely disappointed. Waste of money.,0,completely disappointed waste of money,38,5,0.0
Horrible experience. Never buying again.,0,horrible experience never buying again,38,5,0.0
Bad quality and poor customer service.,0,bad quality and poor customer service,37,6,0.0
Absolutely awful. Total disaster.,0,absolutely awful total disaster,31,4,0.0
It's okay. Nothing special.,1,its okay nothing special,24,4,0.0
Average product. Does the job.,1,average product does the job,28,5,0.0
"Not bad, not great. Just fine.",1,not bad not great just fine,27,6,0.0
Decent for the price.,1,decent for the price,20,4,0.0
It works as expected.,1,it works as expected,20,4,0.0
I love this product! It's amazing and works perfectly!,2,i love this product its amazing and works perfectly,51,9,0.0
Absolutely wonderful experience. Highly recommend!,2,absolutely wonderful experience highly recommend,48,5,0.0
Best purchase I've made in years. So happy!,2,best purchase ive made in years so happy,40,8,0.0
Great quality and fast shipping. Very satisfied.,2,great quality and fast shipping very satisfied,46,7,0.0
Fantastic! Exceeded all my expectations!,2,fantastic exceeded all my expectations,38,5,0.0
This is terrible. Worst product ever.,0,this is terrible worst product ever,35,6,0.0
Completely disappointed. Waste of money.,0,completely disappointed waste of money,38,5,0.0
Horrible experience. Never buying again.,0,horrible experience never buying again,38,5,0.0
Bad quality and poor customer service.,0,bad quality and poor customer service,37,6,0.0
Absolutely awful. Total disaster.,0,absolutely awful total disaster,31,4,0.0
It's okay. Nothing special.,1,its okay nothing special,24,4,0.0
Average product. Does the job.,1,average product does the job,28,5,0.0
"Not bad, not great. Just fine.",1,not bad not great just fine,27,6,0.0
Decent for the price.,1,decent for the price,20,4,0.0
It works as expected.,1,it works as expected,20,4,0.0
I love this product! It's amazing and works perfectly!,2,i love this product its amazing and works perfectly,51,9,0.0
Absolutely wonderful experience. Highly recommend!,2,absolutely wonderful experience highly recommend,48,5,0.0
Best purchase I've made in years. So happy!,2,best purchase ive made in years so happy,40,8,0.0
Great quality and fast shipping. Very satisfied.,2,great quality and fast shipping very satisfied,46,7,0.0
Fantastic! Exceeded all my expectations!,2,fantastic exceeded all my expectations,38,5,0.0
This is terrible. Worst product ever.,0,this is terrible worst product ever,35,6,0.0
Completely disappointed. Waste of money.,0,completely disappointed waste of money,38,5,0.0
Horrible experience. Never buying again.,0,horrible experience never buying again,38,5,0.0
Bad quality and poor customer service.,0,bad quality and poor customer service,37,6,0.0
Absolutely awful. Total disaster.,0,absolutely awful total disaster,31,4,0.0
It's okay. Nothing special.,1,its okay nothing special,24,4,0.0
Average product. Does the job.,1,average product does the job,28,5,0.0
"Not bad, not great. Just fine.",1,not bad not great just fine,27,6,0.0
Decent for the price.,1,decent for the price,20,4,0.0
It works as expected.,1,it works as expected,20,4,0.0
I love this product! It's amazing and works perfectly!,2,i love this product its amazing and works perfectly,51,9,0.0
Absolutely wonderful experience. Highly recommend!,2,absolutely wonderful experience highly recommend,48,5,0.0
Best purchase I've made in years. So happy!,2,best purchase ive made in years so happy,40,8,0.0
Great quality and fast shipping. Very satisfied.,2,great quality and fast shipping very satisfied,46,7,0.0
Fantastic! Exceeded all my expectations!,2,fantastic exceeded all my expectations,38,5,0.0
This is terrible. Worst product ever.,0,this is terrible worst product ever,35,6,0.0
Completely disappointed. Waste of money.,0,completely disappointed waste of money,38,5,0.0
Horrible experience. Never buying again.,0,horrible experience never buying again,38,5,0.0
Bad quality and poor customer service.,0,bad quality and poor customer service,37,6,0.0
Absolutely awful. Total disaster.,0,absolutely awful total disaster,31,4,0.0
It's okay. Nothing special.,1,its okay nothing special,24,4,0.0
Average product. Does the job.,1,average product does the job,28,5,0.0
"Not bad, not great. Just fine.",1,not bad not great just fine,27,6,0.0
Decent for the price.,1,decent for the price,20,4,0.0
It works as expected.,1,it works as expected,20,4,0.0
I love this product! It's amazing and works perfectly!,2,i love this product its amazing and works perfectly,51,9,0.0
Absolutely wonderful experience. Highly recommend!,2,absolutely wonderful experience highly recommend,48,5,0.0
Best purchase I've made in years. So happy!,2,best purchase ive made in years so happy,40,8,0.0
Great quality and fast shipping. Very satisfied.,2,great quality and fast shipping very satisfied,46,7,0.0
Fantastic! Exceeded all my expectations!,2,fantastic exceeded all my expectations,38,5,0.0
This is terrible. Worst product ever.,0,this is terrible worst product ever,35,6,0.0
Completely disappointed. Waste of money.,0,completely disappointed waste of money,38,5,0.0
Horrible experience. Never buying again.,0,horrible experience never buying again,38,5,0.0
Bad quality and poor customer service.,0,bad quality and poor customer service,37,6,0.0
Absolutely awful. Total disaster.,0,absolutely awful total disaster,31,4,0.0
It's okay. Nothing special.,1,its okay nothing special,24,4,0.0
Average product. Does the job.,1,average product does the job,28,5,0.0
"Not bad, not great. Just fine.",1,not bad not great just fine,27,6,0.0
Decent for the price.,1,decent for the price,20,4,0.0
It works as expected.,1,it works as expected,20,4,0.0
